minFlux,maxFlux,fluxSpan,rxns
0,0,0,_BORNEOL_DEHYDROGENASE_RXN_c
0,0,0,_NEOMENTHOL_DEHYDROGENASE_RXN_c
0,0,0,__MENTHOL_DEHYDROGENASE_RXN_c
0,0,0,1_1_1_141_RXN_c
0,0,0,1_1_1_170_RXN_NADP_c
0,0,0,1_1_1_170_RXN_NAD_c
0,224.361563715858,224.361563715858,1_1_1_178_RXN_m
0,0,0,1_1_1_210_RXN_c
0,0,0,1_1_1_248_RXN_c
0,1000,1000,1_1_1_255_RXN_c
0,0,0,1_1_1_268_RXN_c
-1.1201925e-05,-1.12019249627338e-05,3.72662462005827e-14,1_1_1_271_RXN_c
0,0,0,1_1_1_285_RXN_NADP_c
0,0,0,1_1_1_285_RXN_NAD_c
0,0,0,1_1_1_288_RXN_c
0,0,0,1_1_1_34_RXN_c
0,1000,1000,1_1_1_39_RXN_c
0,0,0,1_1_1_51_RXN_NAD_c
0,999.999500463,999.999500463,1_1_1_8_RXN_c
0,0,0,1_1_3_37_RXN_c
0,1000,1000,1_10_2_2_RXN_m
0,0,0,1_14_11_18_RXN_c
0,0,0,1_14_11_20_RXN_c
0,0,0,1_14_13_117_RXN_c
0,0,0,1_14_13_118_RXN_c
0,0,0,1_14_13_36_RXN_c
0,0,0,1_14_13_42_RXN_c
0,0,0,1_14_13_70_RXN_c
0,0,0,1_14_13_72_RXN_NADP_c
0,0,0,1_14_13_72_RXN_NAD_c
0,0,0,1_14_13_73_RXN_c
0,0,0,1_14_13_77_RXN_c
0,0,0,1_14_13_78_RXN_c
0,0,0,1_14_13_79_RXN_c
0,0,0,1_14_13_8_RXN_c
0,0,0,1_14_13_87_RXN_NADP_c
0,0,0,1_14_13_87_RXN_NAD_c
0,0,0,1_14_13_93_RXN_c
0,0,0,1_14_21_6_RXN_NADP_c
0,0,0,1_14_21_6_RXN_NAD_c
0,0,0,1_14_99_33_RXN_NADP_c
0,0,0,1_14_99_33_RXN_NAD_c
-1000,0.0328286848000516,1000.0328286848,1_18_1_2_RXN_p
0,0,0,1_2_1_1_RXN_c
-1000,0,1000,1_2_1_13_RXN_p
0,159.724470014037,159.724470014037,1_2_1_2_RXN_m
0,170.794482787288,170.794482787288,1_2_1_2_RXN_p
0,271.082696862698,271.082696862698,1_2_1_25_RXN_m
0,0,0,1_2_1_42_RXN_c
0,0,0,1_2_1_65_RXN_c
0,1000,1000,1_2_1_9_RXN_c
0,0,0,1_2_3_14_RXN_c
0,324.077814256239,324.077814256239,1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m
0,0,0,1_3_1_2_RXN_c
0,0,0,1_3_7_4_RXN_c
3.12374e-05,3.12374e-05,0,1_5_1_20_RXN_c
0,0,0,1_5_1_25_RXN_NADP_c
0,0,0,1_5_1_25_RXN_NAD_c
0,1000,1000,1_5_1_7_RXN_c
-1000,0,1000,1_5_1_8_RXN_c
0,291.668599124594,291.668599124594,1_5_1_9_RXN_c
0,1000,1000,1_5_5_1_RXN_m
0,889.065619561367,889.065619561367,1_6_5_4_RXN_x
0,0,0,1_8_3_5_RXN_c
0.0001012914,333.344377519667,333.344276228267,1_8_4_9_RXN_p
0,1000,1000,1_8_5_1_RXN_c
0,0,0,1_8_5_1_RXN_m
0,951.489449569971,951.489449569971,1_8_5_1_RXN_p
0,819.273617159226,819.273617159226,1_8_5_1_RXN_x
-181.581550234716,-4.48255999572211e-05,181.581505409116,10_FORMYL_THF_pc
0,0,0,12_ALPHA_L_FUCOSIDASE_RXN_c
0,0,0,12_OXOPHYTODIENOATE_REDUCTASE_RXN_c
-333.335734698586,202.388526844255,535.724261542841,1TRANSKETO_RXN_p
0,291.668599124594,291.668599124594,2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c
0,0,0,2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c
0,0,0,2_DEHYDROPANTOATE_REDUCT_RXN_c
0,0,0,2_HEXADECENAL_REDUCTASE_RXN_c
0,0,0,2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c
0.000211579,324.078025835239,324.077814256239,2_ISOPROPYLMALATESYN_RXN_p
0,291.668599124594,291.668599124594,2_KETO_ADIPATE_DEHYDROG_RXN_m
-1000,1000,2000,2_KETOGLUTARATE_xc
0,224.361563715858,224.361563715858,2_MEBUCOA_ETF_RXN_m
0,0,0,2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c
0,0,0,2_OCTAPRENYLPHENOL_HYDROX_RXN_c
0,0,0,2_1_1_103_RXN_c
0,0,0,2_1_1_114_RXN_c
0,0,0,2_1_1_121_RXN_c
0,0,0,2_1_1_139_RXN_c
0,0,0,2_1_1_140_RXN_c
0,0,0,2_1_1_142_RXN_c
0,0,0,2_1_1_143_RXN_c
0,0,0,2_1_1_145_RXN_c
0,0,0,2_1_1_146_RXN_c
0,0,0,2_1_1_64_RXN_c
0,0,0,2_1_1_69_RXN_c
0,0,0,2_1_1_88_RXN_c
0,0,0,2_3_1_103_RXN_c
0,0,0,2_3_1_133_RXN_c
0,0,0,2_3_1_150_RXN_c
0,0,0,2_3_1_151_RXN_c
0,0,0,2_3_1_156_RXN_c
0,0,0,2_3_1_160_RXN_c
0,0,0,2_3_1_162_RXN_c
0,0,0,2_3_1_167_RXN_c
0,0,0,2_3_1_172_RXN_c
0,0,0,2_3_1_179_RXN_c
0.0014986112435,116.668938261081,116.667439649838,2_3_1_180_RXN_p
0,0,0,2_3_1_99_RXN_c
0,974.64060129868,974.64060129868,2_4_1_111_RXN_c
0,0,0,2_4_1_114_RXN_c
0,0,0,2_4_1_121_RXN_c
0.0006651356,974.64126643428,974.64060129868,2_4_1_123_RXN_c
0,0,0,2_4_1_126_RXN_c
0,0,0,2_4_1_194_RXN_c
0,0,0,2_4_1_195_RXN_c
0,0,0,2_4_1_210_RXN_c
0,0,0,2_4_1_218_RXN_c
0,974.640876881081,974.640876881081,2_4_1_67_RXN_c
0.0003895532,974.64126643428,974.64087688108,2_4_1_82_RXN_c
0.000223952400007963,207.346454698489,207.346230746089,2_5_1_19_RXN_p
0,0,0,2_5_1_32_RXN_c
0,0,0,2_5_1_39_RXN_c
0,0,0,2_5_1_41_RXN_c
0,0,0,2_5_1_43_RXN_c
0,0,0,2_5_1_64_RXN_c
0,0,0,2_6_1_18_RXN_c
0,0,0,2_6_1_22_RXN_c
0,0,0,2_6_1_49_RXN_c
-1000,1000,2000,2_6_1_58_RXN_c
0,0,0,2_6_1_80_RXN_c
0,1000,1000,2_7_1_133_RXN_c
0,324.880200432893,324.880200432893,2_7_1_134_RXN_c
0,1000,1000,2_7_1_139_RXN_c
0,0,0,2_7_1_140_RXN_c
0,0,0,2_7_1_148_RXN_p
0,0,0,2_7_1_151_RXN_c
0,0,0,2_7_1_152_RXN_c
-1000,1000,2000,2_7_1_90_RXN_c
0,0,0,2_7_4_24_RXN_c
0,987.796902916447,987.796902916447,2_7_7_1_RXN_c
0,0,0,2_7_7_11_RXN_c
0,999.9941625452,999.9941625452,2_7_7_13_RXN_c
0,0,0,2_7_7_14_RXN_c
0,974.64060129868,974.64060129868,2_7_7_15_RXN_c
0,2.29372749345202e-05,2.29372749345202e-05,2_7_7_34_RXN_c
0,0,0,2_7_7_44_RXN_c
0,0,0,2_7_7_57_RXN_c
0,0,0,2_7_7_60_RXN_p
0,0,0,2_8_2_26_RXN_c
0,0,0,2_8_2_27_RXN_c
0,0,0,2_8_2_28_RXN_c
0,0,0,23_DIMETHYLMALATE_LYASE_RXN_c
0,224.361563715858,224.361563715858,2KETO_3METHYLVALERATE_RXN_m
0,324.077814256239,324.077814256239,2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m
0,487.251078403057,487.251078403057,2KETOBUTYRYL_TRANS_mc
0,291.668599124594,291.668599124594,2KG_2K_ADIPATE_mc
-1000,1000,2000,2KG_ACONITATE_mc
-1000,1000,2000,2KG_CIT_mc
-1000,1000,2000,2KG_ISOCITRATE_mc
-1000,1000,2000,2KG_MAL_mc
-1000,1000,2000,2KG_MAL_pc
-1000,1000,2000,2KG_OAA_mc
-1000,1000,2000,2KG_SUC_mc
0,324.077814256239,324.077814256239,2OXOBUT_TRANS_mc
-224.361671411858,310.817982135825,535.179653547683,2OXOBUT_TRANS_pc
0,468.752977652543,468.752977652543,2OXOGLUTARATEDEH_RXN_m
0,0,0,2OXOGLUTDECARB_RXN_m
-1000,1000,2000,2PGADEHYDRAT_RXN_c
-1000,1000,2000,2PGADEHYDRAT_RXN_p
0,0,0,2PHENYLETHANOL_biomass
-202.388750796655,333.335510746185,535.724261542841,2TRANSKETO_RXN_p
0,0,0,3_CH3_2_OXOBUTANOATE_OH_CH3_XFER_RXN_c
0,0,0,3_CYANOALANINE_HYDRATASE_RXN_c
0.000223952400007963,207.346454698489,207.346230746089,3_DEHYDROQUINATE_DEHYDRATASE_RXN_p
