minFlux,maxFlux,fluxSpan,rxns
0,0,0,_BORNEOL_DEHYDROGENASE_RXN_c
0,0,0,_NEOMENTHOL_DEHYDROGENASE_RXN_c
0,0,0,__MENTHOL_DEHYDROGENASE_RXN_c
0,0,0,1_1_1_141_RXN_c
0,0,0,1_1_1_170_RXN_NADP_c
0,0,0,1_1_1_170_RXN_NAD_c
0,0.000687967339087369,0.000687967339087369,1_1_1_178_RXN_m
0,0,0,1_1_1_210_RXN_c
0,0,0,1_1_1_248_RXN_c
0,0.00413310807891776,0.00413310807891776,1_1_1_255_RXN_c
0,0,0,1_1_1_268_RXN_c
-8.2467e-05,-7.46130000379708e-05,7.85399996202923e-06,1_1_1_271_RXN_c
0,0,0,1_1_1_285_RXN_NADP_c
0,0,0,1_1_1_285_RXN_NAD_c
0,0,0,1_1_1_288_RXN_c
0,0,0,1_1_1_34_RXN_c
0,0.00591710219418928,0.00591710219418928,1_1_1_39_RXN_c
0,0,0,1_1_1_51_RXN_NAD_c
0,0.00873075619427494,0.00873075619427494,1_1_1_8_RXN_c
0,0,0,1_1_3_37_RXN_c
0.0174207874748125,0.0205242215,0.00310343402518751,1_10_2_2_RXN_m
0,0,0,1_14_11_18_RXN_c
0,0,0,1_14_11_20_RXN_c
0,0,0,1_14_13_117_RXN_c
0,0,0,1_14_13_118_RXN_c
0,0,0,1_14_13_36_RXN_c
0,0,0,1_14_13_42_RXN_c
0,0,0,1_14_13_70_RXN_c
0,0,0,1_14_13_72_RXN_NADP_c
0,0,0,1_14_13_72_RXN_NAD_c
0,0,0,1_14_13_73_RXN_c
0,0,0,1_14_13_77_RXN_c
0,0,0,1_14_13_78_RXN_c
0,0,0,1_14_13_79_RXN_c
0,0,0,1_14_13_8_RXN_c
0,0,0,1_14_13_87_RXN_NADP_c
0,0,0,1_14_13_87_RXN_NAD_c
0,0,0,1_14_13_93_RXN_c
0,0,0,1_14_21_6_RXN_NADP_c
0,0,0,1_14_21_6_RXN_NAD_c
0,0,0,1_14_99_33_RXN_NADP_c
0,0,0,1_14_99_33_RXN_NAD_c
-0.00882033011487238,-0.00166614714498792,0.00715418296988446,1_18_1_2_RXN_p
0,0,0,1_2_1_1_RXN_c
-0.00873075619472274,0,0.00873075619472274,1_2_1_13_RXN_p
0,0.000448599693724845,0.000448599693724845,1_2_1_2_RXN_m
0,0.000448599693766837,0.000448599693766837,1_2_1_2_RXN_p
0,0.000994994085495725,0.000994994085495725,1_2_1_25_RXN_m
0,0,0,1_2_1_42_RXN_c
0,0,0,1_2_1_65_RXN_c
0,0.00557969362417229,0.00557969362417229,1_2_1_9_RXN_c
0,0,0,1_2_3_14_RXN_c
0,0.00113579513526843,0.00113579513526843,1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m
0,0,0,1_3_1_2_RXN_c
0,0,0,1_3_7_4_RXN_c
5.0895015e-05,5.6252385e-05,5.35737000000001e-06,1_5_1_20_RXN_c
0,0,0,1_5_1_25_RXN_NADP_c
0,0,0,1_5_1_25_RXN_NAD_c
0,0.00873075619472274,0.00873075619472274,1_5_1_7_RXN_c
-0.00873075619449537,0,0.00873075619449537,1_5_1_8_RXN_c
0,0.0010374828063265,0.0010374828063265,1_5_1_9_RXN_c
0,0.00313836630871663,0.00313836630871663,1_5_5_1_RXN_m
0,0.00111458444977892,0.00111458444977892,1_6_5_4_RXN_x
0,0,0,1_8_3_5_RXN_c
0.000165033715,0.000605033164111872,0.000439999449111872,1_8_4_9_RXN_p
0,0.0020922901072645,0.0020922901072645,1_8_5_1_RXN_c
0,0,0,1_8_5_1_RXN_m
0,0.00104614505373633,0.00104614505373633,1_8_5_1_RXN_p
0,0.00104614505371257,0.00104614505371257,1_8_5_1_RXN_x
-0.000603064468009507,-7.30342900396863e-05,0.00053003017796982,10_FORMYL_THF_pc
0,0,0,12_ALPHA_L_FUCOSIDASE_RXN_c
0,0,0,12_OXOPHYTODIENOATE_REDUCTASE_RXN_c
-0.00360777902543964,-0.000436076897472049,0.00317170212796759,1TRANSKETO_RXN_p
0,0.0010374828063265,0.0010374828063265,2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c
0,0,0,2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c
0,0,0,2_DEHYDROPANTOATE_REDUCT_RXN_c
0,0,0,2_HEXADECENAL_REDUCTASE_RXN_c
0,0,0,2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c
0.00034472555,0.00118866472182332,0.000843939171823321,2_ISOPROPYLMALATESYN_RXN_p
0,0.0010374828063265,0.0010374828063265,2_KETO_ADIPATE_DEHYDROG_RXN_m
-1000,1000,2000,2_KETOGLUTARATE_xc
0,0.000687967339087369,0.000687967339087369,2_MEBUCOA_ETF_RXN_m
0,0,0,2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c
0,0,0,2_OCTAPRENYLPHENOL_HYDROX_RXN_c
0,0,0,2_1_1_103_RXN_c
0,0,0,2_1_1_114_RXN_c
0,0,0,2_1_1_121_RXN_c
0,0,0,2_1_1_139_RXN_c
0,0,0,2_1_1_140_RXN_c
0,0,0,2_1_1_142_RXN_c
0,0,0,2_1_1_143_RXN_c
0,0,0,2_1_1_145_RXN_c
0,0,0,2_1_1_146_RXN_c
0,0,0,2_1_1_64_RXN_c
0,0,0,2_1_1_69_RXN_c
0,0,0,2_1_1_88_RXN_c
0,0,0,2_3_1_103_RXN_c
0,0,0,2_3_1_133_RXN_c
0,0,0,2_3_1_150_RXN_c
0,0,0,2_3_1_151_RXN_c
0,0,0,2_3_1_156_RXN_c
0,0,0,2_3_1_160_RXN_c
0,0,0,2_3_1_162_RXN_c
0,0,0,2_3_1_167_RXN_c
0,0,0,2_3_1_172_RXN_c
0,0,0,2_3_1_179_RXN_c
0.00082075459,0.00110698956915524,0.000286234979155237,2_3_1_180_RXN_p
0,0,0,2_3_1_99_RXN_c
0,0.00275216621812645,0.00275216621812645,2_4_1_111_RXN_c
0,0,0,2_4_1_114_RXN_c
0,0,0,2_4_1_121_RXN_c
2.415185e-06,0.00275458140321718,0.00275216621821718,2_4_1_123_RXN_c
0,0,0,2_4_1_126_RXN_c
0,0,0,2_4_1_194_RXN_c
0,0,0,2_4_1_195_RXN_c
0,0,0,2_4_1_210_RXN_c
0,0,0,2_4_1_218_RXN_c
0,0.00275216621796761,0.00275216621796761,2_4_1_67_RXN_c
2.415185e-06,0.00275458140282241,0.00275216621782241,2_4_1_82_RXN_c
0.000364884455000943,0.000726535266687772,0.000361650811686828,2_5_1_19_RXN_p
0,0,0,2_5_1_32_RXN_c
0,0,0,2_5_1_39_RXN_c
0,0,0,2_5_1_41_RXN_c
0,0,0,2_5_1_43_RXN_c
0,0,0,2_5_1_64_RXN_c
0,0,0,2_6_1_18_RXN_c
0,0,0,2_6_1_22_RXN_c
0,0,0,2_6_1_49_RXN_c
-1000,1000,2000,2_6_1_58_RXN_c
0,0,0,2_6_1_80_RXN_c
0,0.00550433243633108,0.00550433243633108,2_7_1_133_RXN_c
0,0.000917388739330881,0.000917388739330881,2_7_1_134_RXN_c
0,0.00550433243610203,0.00550433243610203,2_7_1_139_RXN_c
0,0,0,2_7_1_140_RXN_c
0,0,0,2_7_1_148_RXN_p
0,0,0,2_7_1_151_RXN_c
0,0,0,2_7_1_152_RXN_c
-0.000621735904815068,0.0143520241038004,0.0149737600086155,2_7_1_90_RXN_c
0,0,0,2_7_4_24_RXN_c
0,0.00275216621821372,0.00275216621821372,2_7_7_1_RXN_c
0,0,0,2_7_7_11_RXN_c
0,0.00565711143636751,0.00565711143636751,2_7_7_13_RXN_c
0,0,0,2_7_7_14_RXN_c
0,0.00275216621822845,0.00275216621822845,2_7_7_15_RXN_c
0,0.000168861000020115,0.000168861000020115,2_7_7_34_RXN_c
0,0,0,2_7_7_44_RXN_c
0,0,0,2_7_7_57_RXN_c
0,0,0,2_7_7_60_RXN_p
0,0,0,2_8_2_26_RXN_c
0,0,0,2_8_2_27_RXN_c
0,0,0,2_8_2_28_RXN_c
0,0,0,23_DIMETHYLMALATE_LYASE_RXN_c
0,0.000687967339087369,0.000687967339087369,2KETO_3METHYLVALERATE_RXN_m
0,0.000824618385983738,0.000824618385983738,2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m
0,0.00137608310910764,0.00137608310910764,2KETOBUTYRYL_TRANS_mc
0,0.00103748280628224,0.00103748280628224,2KG_2K_ADIPATE_mc
-1000,1000,2000,2KG_ACONITATE_mc
-1000,1000,2000,2KG_CIT_mc
-1000,1000,2000,2KG_ISOCITRATE_mc
-1000,1000,2000,2KG_MAL_mc
-1000,1000,2000,2KG_MAL_pc
-1000,1000,2000,2KG_OAA_mc
-1000,1000,2000,2KG_SUC_mc
0,0.00113579513526929,0.00113579513526929,2OXOBUT_TRANS_mc
-0.000873328620514258,0.00112804696163948,0.00200137558215374,2OXOBUT_TRANS_pc
