median,mean,std,rxns
0,0,0,_BORNEOL_DEHYDROGENASE_RXN_c
0,0,0,_NEOMENTHOL_DEHYDROGENASE_RXN_c
0,0,0,__MENTHOL_DEHYDROGENASE_RXN_c
0,0,0,1_1_1_141_RXN_c
0,0,0,1_1_1_170_RXN_NADP_c
0,0,0,1_1_1_170_RXN_NAD_c
0,6.76237928700642e-06,6.21513781623237e-05,1_1_1_178_RXN_m
0,0,0,1_1_1_210_RXN_c
0,0,0,1_1_1_248_RXN_c
0,2.52255800223789e-05,0.000305101788901295,1_1_1_255_RXN_c
0,0,0,1_1_1_268_RXN_c
-7.612521e-05,-7.62234992441647e-05,8.71621696102677e-07,1_1_1_271_RXN_c
0,0,0,1_1_1_285_RXN_NADP_c
0,0,0,1_1_1_285_RXN_NAD_c
0,0,0,1_1_1_288_RXN_c
0,5.19270433568894e-14,5.19270433568879e-12,1_1_1_34_RXN_c
0,1.10807101569843e-05,0.000219117196490202,1_1_1_39_RXN_c
0,0,0,1_1_1_51_RXN_NAD_c
0,1.36544821004341e-05,0.000321724061229693,1_1_1_8_RXN_c
0,0,0,1_1_3_37_RXN_c
0.023636784,0.0231769916279742,0.000740975062884832,1_10_2_2_RXN_m
0,0,0,1_14_11_18_RXN_c
0,0,0,1_14_11_20_RXN_c
0,0,0,1_14_13_117_RXN_c
0,0,0,1_14_13_118_RXN_c
0,0,0,1_14_13_36_RXN_c
0,0,0,1_14_13_42_RXN_c
0,7.97670328145936e-14,7.97670328145927e-12,1_14_13_70_RXN_c
0,0,0,1_14_13_72_RXN_NADP_c
0,0,0,1_14_13_72_RXN_NAD_c
0,0,0,1_14_13_73_RXN_c
0,0,0,1_14_13_77_RXN_c
0,0,0,1_14_13_78_RXN_c
0,0,0,1_14_13_79_RXN_c
0,0,0,1_14_13_8_RXN_c
0,0,0,1_14_13_87_RXN_NADP_c
0,0,0,1_14_13_87_RXN_NAD_c
0,0,0,1_14_13_93_RXN_c
0,0,0,1_14_21_6_RXN_NADP_c
0,0,0,1_14_21_6_RXN_NAD_c
0,0,0,1_14_99_33_RXN_NADP_c
0,0,0,1_14_99_33_RXN_NAD_c
-0.002113995,-0.00217695275480588,0.000302861443924956,1_18_1_2_RXN_p
0,0,0,1_2_1_1_RXN_c
0,0,0,1_2_1_13_RXN_p
0,1.35314355625704e-05,6.29125269421662e-05,1_2_1_2_RXN_m
0,5.16866111598174e-07,1.44261093547324e-05,1_2_1_2_RXN_p
0,1.47502305176787e-05,0.000104313878874452,1_2_1_25_RXN_m
0,0,0,1_2_1_42_RXN_c
0,0,0,1_2_1_65_RXN_c
0,0.000143324534608931,0.000553377139880717,1_2_1_9_RXN_c
0,0,0,1_2_3_14_RXN_c
0,2.48682554025382e-05,0.000133804638018417,1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m
0,2.19455238693926e-15,2.19455238693924e-13,1_3_1_2_RXN_c
0,0,0,1_3_7_4_RXN_c
5.6068e-05,5.60679998216305e-05,1.15327709170717e-11,1_5_1_20_RXN_c
0,0,0,1_5_1_25_RXN_NADP_c
0,0,0,1_5_1_25_RXN_NAD_c
0,1.04435930843288e-15,1.04435930843286e-13,1_5_1_7_RXN_c
0,-1.7021635884332e-05,0.000124848317449532,1_5_1_8_RXN_c
0,1.70216358832876e-05,0.000124848317449674,1_5_1_9_RXN_c
0,5.55327550151795e-05,0.000287221213209342,1_5_5_1_RXN_m
0,3.58131013317176e-06,5.96578698598899e-05,1_6_5_4_RXN_x
0,0,0,1_8_3_5_RXN_c
0.000177814,0.0001821199996138,4.08596904946605e-05,1_8_4_9_RXN_p
0,1.92474632656439e-05,0.000148934597701866,1_8_5_1_RXN_c
0,0,0,1_8_5_1_RXN_m
0,8.22172756975908e-06,8.71709697578803e-05,1_8_5_1_RXN_p
0,3.709125892857e-06,5.87461258194149e-05,1_8_5_1_RXN_x
-8.08805e-05,-9.51442392586319e-05,7.97370094854716e-05,10_FORMYL_THF_pc
0,0,0,12_ALPHA_L_FUCOSIDASE_RXN_c
0,0,0,12_OXOPHYTODIENOATE_REDUCTASE_RXN_c
-0.00269240452051993,-0.00275856232321907,0.000364673868484436,1TRANSKETO_RXN_p
0,1.70216358832876e-05,0.000124848317449674,2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c
0,0,0,2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c
0,7.66344095556082e-14,7.66344095556082e-12,2_DEHYDROPANTOATE_REDUCT_RXN_c
0,0,0,2_HEXADECENAL_REDUCTASE_RXN_c
0,0,0,2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c
0.0003726,0.000381395105718276,7.74612617086225e-05,2_ISOPROPYLMALATESYN_RXN_p
0,1.70216358832876e-05,0.000124848317449674,2_KETO_ADIPATE_DEHYDROG_RXN_m
0.0001768645,0.000169519337205115,0.000116241620422976,2_KETOGLUTARATE_xc
0,6.76237928700642e-06,6.21513781623237e-05,2_MEBUCOA_ETF_RXN_m
0,0,0,2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c
0,0,0,2_OCTAPRENYLPHENOL_HYDROX_RXN_c
0,0,0,2_1_1_103_RXN_c
0,0,0,2_1_1_114_RXN_c
0,0,0,2_1_1_121_RXN_c
0,0,0,2_1_1_139_RXN_c
0,0,0,2_1_1_140_RXN_c
0,0,0,2_1_1_142_RXN_c
0,0,0,2_1_1_143_RXN_c
0,0,0,2_1_1_145_RXN_c
0,0,0,2_1_1_146_RXN_c
0,0,0,2_1_1_64_RXN_c
0,0,0,2_1_1_69_RXN_c
0,0,0,2_1_1_88_RXN_c
0,0,0,2_3_1_103_RXN_c
0,0,0,2_3_1_133_RXN_c
0,0,0,2_3_1_150_RXN_c
0,0,0,2_3_1_151_RXN_c
0,0,0,2_3_1_156_RXN_c
0,0,0,2_3_1_160_RXN_c
0,0,0,2_3_1_162_RXN_c
0,0,0,2_3_1_167_RXN_c
0,0,0,2_3_1_172_RXN_c
0,0,0,2_3_1_179_RXN_c
0.0011560550511174,0.00116005956079008,5.00780824230909e-05,2_3_1_180_RXN_p
0,0,0,2_3_1_99_RXN_c
0,7.47023257564986e-06,0.000136189468202221,2_4_1_111_RXN_c
0,0,0,2_4_1_114_RXN_c
0,0,0,2_4_1_121_RXN_c
0,4.58578449987398e-05,0.00033413531027757,2_4_1_123_RXN_c
0,0,0,2_4_1_126_RXN_c
0,0,0,2_4_1_194_RXN_c
0,0,0,2_4_1_195_RXN_c
0,0,0,2_4_1_210_RXN_c
0,0,0,2_4_1_218_RXN_c
0,1.88858136600635e-05,0.000215834787759038,2_4_1_67_RXN_c
0,2.03491841937581e-05,0.000223744948410451,2_4_1_82_RXN_c
0.0004097197,0.000413129000580346,3.1985829878676e-05,2_5_1_19_RXN_p
0,0,0,2_5_1_32_RXN_c
0,0,0,2_5_1_39_RXN_c
0,0,0,2_5_1_41_RXN_c
0,-2.39187374243549e-14,1.86974023764288e-12,2_5_1_43_RXN_c
0,0,0,2_5_1_64_RXN_c
0,0,0,2_6_1_18_RXN_c
0,0,0,2_6_1_22_RXN_c
0,0,0,2_6_1_49_RXN_c
0,-1.01037991097645e-14,1.01037991097643e-12,2_6_1_58_RXN_c
0,-2.39187374234514e-14,1.86974023755785e-12,2_6_1_80_RXN_c
0,1.74051009547452e-05,0.000293709969887453,2_7_1_133_RXN_c
0,2.28382014514426e-05,0.000134925454640991,2_7_1_134_RXN_c
0,1.49389408770556e-05,0.000272351003595714,2_7_1_139_RXN_c
0,0,0,2_7_1_140_RXN_c
0,4.73255269343655e-13,4.78617846784732e-11,2_7_1_148_RXN_p
0,0,0,2_7_1_151_RXN_c
0,0,0,2_7_1_152_RXN_c
0.00609475181093384,0.00597900015760316,0.00073683862389812,2_7_1_90_RXN_c
0,0,0,2_7_4_24_RXN_c
0,6.95592912819514e-06,0.000131282895828132,2_7_7_1_RXN_c
0,0,0,2_7_7_11_RXN_c
0.00015587543,0.000166355021039492,0.00024841005691155,2_7_7_13_RXN_c
0,0,0,2_7_7_14_RXN_c
0,6.69675131146801e-06,0.000128742290534161,2_7_7_15_RXN_c
0,2.11996935310252e-06,1.76369428199454e-05,2_7_7_34_RXN_c
0,0,0,2_7_7_44_RXN_c
0,0,0,2_7_7_57_RXN_c
0,4.73255269343655e-13,4.78617846784732e-11,2_7_7_60_RXN_p
0,0,0,2_8_2_26_RXN_c
0,0,0,2_8_2_27_RXN_c
0,0,0,2_8_2_28_RXN_c
0,0,0,23_DIMETHYLMALATE_LYASE_RXN_c
0,6.76237928700642e-06,6.21513781623237e-05,2KETO_3METHYLVALERATE_RXN_m
0,8.79510571827523e-06,7.74612617086225e-05,2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m
0,1.37548690548067e-05,0.000110362182108384,2KETOBUTYRYL_TRANS_mc
0,1.70216358832876e-05,0.000124848317449674,2KG_2K_ADIPATE_mc
