median,mean,std,rxns
0,0,0,_BORNEOL_DEHYDROGENASE_RXN_c
0,0,0,_NEOMENTHOL_DEHYDROGENASE_RXN_c
0,0,0,__MENTHOL_DEHYDROGENASE_RXN_c
0,0,0,1_1_1_141_RXN_c
0,0,0,1_1_1_170_RXN_NADP_c
0,0,0,1_1_1_170_RXN_NAD_c
0,7.42466965798322e-06,7.45888552135844e-05,1_1_1_178_RXN_m
0,0,0,1_1_1_210_RXN_c
0,0,0,1_1_1_248_RXN_c
0,3.07366576365675e-05,0.000383517674269831,1_1_1_255_RXN_c
0,0,0,1_1_1_268_RXN_c
-0.000128759295,-0.000128907540485551,1.40333628804018e-06,1_1_1_271_RXN_c
0,0,0,1_1_1_285_RXN_NADP_c
0,0,0,1_1_1_285_RXN_NAD_c
0,0,0,1_1_1_288_RXN_c
0,-4.792167013334e-13,4.79216701333406e-11,1_1_1_34_RXN_c
0,1.40758075181839e-05,0.0003009462048083,1_1_1_39_RXN_c
0,0,0,1_1_1_51_RXN_NAD_c
0,2.21032605147018e-05,0.00045410711436124,1_1_1_8_RXN_c
0,0,0,1_1_3_37_RXN_c
0.0287712619,0.0275716187801059,0.0022042705360094,1_10_2_2_RXN_m
0,0,0,1_14_11_18_RXN_c
0,0,0,1_14_11_20_RXN_c
0,0,0,1_14_13_117_RXN_c
0,0,0,1_14_13_118_RXN_c
0,0,0,1_14_13_36_RXN_c
0,0,0,1_14_13_42_RXN_c
0,0,0,1_14_13_70_RXN_c
0,0,0,1_14_13_72_RXN_NADP_c
0,0,0,1_14_13_72_RXN_NAD_c
0,0,0,1_14_13_73_RXN_c
0,0,0,1_14_13_77_RXN_c
0,0,0,1_14_13_78_RXN_c
0,0,0,1_14_13_79_RXN_c
0,0,0,1_14_13_8_RXN_c
0,0,0,1_14_13_87_RXN_NADP_c
0,0,0,1_14_13_87_RXN_NAD_c
0,0,0,1_14_13_93_RXN_c
0,0,0,1_14_21_6_RXN_NADP_c
0,0,0,1_14_21_6_RXN_NAD_c
0,0,0,1_14_99_33_RXN_NADP_c
0,0,0,1_14_99_33_RXN_NAD_c
0.01038356225,0.00962801264126516,0.00196062391664772,1_18_1_2_RXN_p
0,-5.03310876999414e-15,5.03310876999412e-13,1_2_1_1_RXN_c
0,0,0,1_2_1_13_RXN_p
0,1.86765728023079e-05,8.58384489173945e-05,1_2_1_2_RXN_m
0,5.02320916978413e-07,1.67373295937248e-05,1_2_1_2_RXN_p
0,1.75776651707959e-05,0.000125587702163461,1_2_1_25_RXN_m
0,0,0,1_2_1_42_RXN_c
0,0,0,1_2_1_65_RXN_c
0,0.000309672216998165,0.00079875535638452,1_2_1_9_RXN_c
0,0,0,1_2_3_14_RXN_c
0,3.00343017823388e-05,0.000170430753248764,1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m
0,-8.37355680457468e-14,8.88365916287853e-12,1_3_1_2_RXN_c
0,0,0,1_3_7_4_RXN_c
8.37839e-05,8.37838997433481e-05,1.11779151985992e-11,1_5_1_20_RXN_c
0,0,0,1_5_1_25_RXN_NADP_c
0,0,0,1_5_1_25_RXN_NAD_c
0,2.90085468204899e-05,0.000529455559308985,1_5_1_7_RXN_c
0,-4.91918296881794e-05,0.000550893686068408,1_5_1_8_RXN_c
0,2.01832828676895e-05,0.000155986398728256,1_5_1_9_RXN_c
0,6.08831083609728e-05,0.000352784117013765,1_5_5_1_RXN_m
0,5.05113712339496e-06,8.16075267504093e-05,1_6_5_4_RXN_x
0,0,0,1_8_3_5_RXN_c
0.0002657129,0.00026988674353478,4.68224487272395e-05,1_8_4_9_RXN_p
0,2.49822199303188e-05,0.000200091229470485,1_8_5_1_RXN_c
0,0,0,1_8_5_1_RXN_m
0,7.23032297063216e-06,9.55086178166457e-05,1_8_5_1_RXN_p
0,3.21759867504443e-06,6.35999345112265e-05,1_8_5_1_RXN_x
-0.000120862,-0.000140788292177569,0.000108546253450075,10_FORMYL_THF_pc
0,0,0,12_ALPHA_L_FUCOSIDASE_RXN_c
0,0,0,12_OXOPHYTODIENOATE_REDUCTASE_RXN_c
-0.000664078316732324,-0.000857684513701068,0.000409951399146656,1TRANSKETO_RXN_p
0,2.01832828676895e-05,0.000155986398728256,2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c
0,0,0,2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c
0,8.73619238485396e-14,8.73619238485393e-12,2_DEHYDROPANTOATE_REDUCT_RXN_c
0,0,0,2_HEXADECENAL_REDUCTASE_RXN_c
0,0,0,2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c
0.000556785,0.000568253410678296,0.000100599397122314,2_ISOPROPYLMALATESYN_RXN_p
0,2.01832828676895e-05,0.000155986398728256,2_KETO_ADIPATE_DEHYDROG_RXN_m
0.0002642921,0.000245575655507643,0.000153330595862182,2_KETOGLUTARATE_xc
0,7.42466965798322e-06,7.45888552135844e-05,2_MEBUCOA_ETF_RXN_m
0,0,0,2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c
0,0,0,2_OCTAPRENYLPHENOL_HYDROX_RXN_c
0,0,0,2_1_1_103_RXN_c
0,0,0,2_1_1_114_RXN_c
0,0,0,2_1_1_121_RXN_c
0,0,0,2_1_1_139_RXN_c
0,0,0,2_1_1_140_RXN_c
0,0,0,2_1_1_142_RXN_c
0,0,0,2_1_1_143_RXN_c
0,0,0,2_1_1_145_RXN_c
0,0,0,2_1_1_146_RXN_c
0,0,0,2_1_1_64_RXN_c
0,0,0,2_1_1_69_RXN_c
0,0,0,2_1_1_88_RXN_c
0,0,0,2_3_1_103_RXN_c
0,0,0,2_3_1_133_RXN_c
0,0,0,2_3_1_150_RXN_c
0,0,0,2_3_1_151_RXN_c
0,0,0,2_3_1_156_RXN_c
0,0,0,2_3_1_160_RXN_c
0,0,0,2_3_1_162_RXN_c
0,0,0,2_3_1_167_RXN_c
0,0,0,2_3_1_172_RXN_c
0,0,0,2_3_1_179_RXN_c
0.00115066920252976,0.00115366560918761,6.00368071608804e-05,2_3_1_180_RXN_p
0,0,0,2_3_1_99_RXN_c
0,1.12396524825829e-05,0.000192540283519636,2_4_1_111_RXN_c
0,0,0,2_4_1_114_RXN_c
0,0,0,2_4_1_121_RXN_c
1.079105e-05,6.77579005447855e-05,0.000431313462508569,2_4_1_123_RXN_c
0,0,0,2_4_1_126_RXN_c
0,0,0,2_4_1_194_RXN_c
0,0,0,2_4_1_195_RXN_c
0,0,0,2_4_1_210_RXN_c
0,0,0,2_4_1_218_RXN_c
0,2.57820939081637e-05,0.00029115600463265,2_4_1_67_RXN_c
1.079105e-05,3.11255751932372e-05,0.000259575651145322,2_4_1_82_RXN_c
0.0006122553,0.000616739276618939,4.24890820557423e-05,2_5_1_19_RXN_p
0,0,0,2_5_1_32_RXN_c
0,0,0,2_5_1_39_RXN_c
0,0,0,2_5_1_41_RXN_c
0,-9.85526871518568e-15,9.8552687151857e-13,2_5_1_43_RXN_c
0,0,0,2_5_1_64_RXN_c
0,-1.6323782649871e-13,1.15854141180582e-11,2_6_1_18_RXN_c
0,0,0,2_6_1_22_RXN_c
0,0,0,2_6_1_49_RXN_c
0,0,0,2_6_1_58_RXN_c
0,-9.85526871518568e-15,9.85526871518569e-13,2_6_1_80_RXN_c
0,1.86655490341896e-05,0.000352340830038138,2_7_1_133_RXN_c
0,3.1299835851082e-05,0.000183250417350466,2_7_1_134_RXN_c
0,1.80576476676829e-05,0.000347071919268495,2_7_1_139_RXN_c
0,0,0,2_7_1_140_RXN_c
0,-7.77977665121877e-15,7.77977665121874e-13,2_7_1_148_RXN_p
0,0,0,2_7_1_151_RXN_c
0,0,0,2_7_1_152_RXN_c
0.00790287446912618,0.00772116245436877,0.00121440563529386,2_7_1_90_RXN_c
0,0,0,2_7_4_24_RXN_c
0,1.08884907958222e-05,0.000189461198514913,2_7_7_1_RXN_c
0,0,0,2_7_7_11_RXN_c
0.000263649985,0.000275699446715683,0.000306793717289891,2_7_7_13_RXN_c
0,0,0,2_7_7_14_RXN_c
0,9.21178022839405e-06,0.000174536800086686,2_7_7_15_RXN_c
0,2.27768314921918e-06,2.4611912127641e-05,2_7_7_34_RXN_c
0,0,0,2_7_7_44_RXN_c
0,0,0,2_7_7_57_RXN_c
0,-7.77977665121877e-15,7.77977665121874e-13,2_7_7_60_RXN_p
0,0,0,2_8_2_26_RXN_c
0,0,0,2_8_2_27_RXN_c
0,0,0,2_8_2_28_RXN_c
0,0,0,23_DIMETHYLMALATE_LYASE_RXN_c
0,7.42466965798322e-06,7.45888552135844e-05,2KETO_3METHYLVALERATE_RXN_m
0,1.14684106782922e-05,0.000100599397122314,2KETO_4METHYL_PENTANOATE_DEHYDROG_RXN_m
0,1.57677924071313e-05,0.000133342135850982,2KETOBUTYRYL_TRANS_mc
0,2.01832828676895e-05,0.000155986398728256,2KG_2K_ADIPATE_mc
0,0,0,2KG_ACONITATE_mc
