median;mean;std;rxns;;;;;;;
0;0;0;_BORNEOL_DEHYDROGENASE_RXN_c;0;;;0.131555846;0.010962987;12;Sucrose_tx
0;0;0;_NEOMENTHOL_DEHYDROGENASE_RXN_c;0;;;0.00212704;0.00053176;4;ASN_tx
0;0;0;__MENTHOL_DEHYDROGENASE_RXN_c;0;;;0.029525691;0.005905138;5;GLN_tx
0;0;0;1_1_1_141_RXN_c;0;;;0.163208577;;;
0;0;0;1_1_1_170_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_170_RXN_NAD_c;0;;;;;;
0;1.23E-05;0.000115303;1_1_1_178_RXN_m;0;;;;;;
0;0;0;1_1_1_210_RXN_c;0;;;;;;
0;0;0;1_1_1_248_RXN_c;0;;;;;;
0;3.02E-05;0.000364546;1_1_1_255_RXN_c;0;;;;;;
0;0;0;1_1_1_268_RXN_c;0;;;;;;
-0.000148598;-0.000148736;1.45E-06;1_1_1_271_RXN_c;-0.000910477;;;;;;
0;0;0;1_1_1_285_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_285_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_288_RXN_c;0;;;;;;
0;0;0;1_1_1_34_RXN_c;0;;;;;;
0;2.37E-05;0.000352665;1_1_1_39_RXN_c;0;;;;;;
0;0;0;1_1_1_51_RXN_NAD_c;0;;;;;;
0;2.71E-05;0.000619819;1_1_1_8_RXN_c;0;;;;;;
0;0;0;1_1_3_37_RXN_c;0;;;;;;
0.038100678;0.037594973;0.00084655;1_10_2_2_RXN_m;0.233447771;;;;;;
0;0;0;1_14_11_18_RXN_c;0;;;;;;
0;0;0;1_14_11_20_RXN_c;0;;;;;;
0;0;0;1_14_13_117_RXN_c;0;;;;;;
0;0;0;1_14_13_118_RXN_c;0;;;;;;
0;0;0;1_14_13_36_RXN_c;0;;;;;;
0;0;0;1_14_13_42_RXN_c;0;;;;;;
0;0;0;1_14_13_70_RXN_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_73_RXN_c;0;;;;;;
0;0;0;1_14_13_77_RXN_c;0;;;;;;
0;0;0;1_14_13_78_RXN_c;0;;;;;;
0;0;0;1_14_13_79_RXN_c;0;;;;;;
0;0;0;1_14_13_8_RXN_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_93_RXN_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NADP_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NAD_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NADP_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NAD_c;0;;;;;;
-0.002380482;-0.002436713;0.000336737;1_18_1_2_RXN_p;-0.014585517;;;;;;
0;-2.40E-14;2.40E-12;1_2_1_1_RXN_c;0;;;;;;
0;0;0;1_2_1_13_RXN_p;0;;;;;;
0;1.83E-05;8.23E-05;1_2_1_2_RXN_m;0;;;;;;
0;6.65E-07;1.84E-05;1_2_1_2_RXN_p;0;;;;;;
0;3.57E-05;0.000220747;1_2_1_25_RXN_m;0;;;;;;
0;0;0;1_2_1_42_RXN_c;0;;;;;;
0;0;0;1_2_1_65_RXN_c;0;;;;;;
0;2.95E-05;0.000233742;1_2_1_9_RXN_c;0;;;;;;
0;0;0;1_2_3_14_RXN_c;0;;;;;;
0;3.73E-05;0.000241312;1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m;0;;;;;;
0;0;0;1_3_1_2_RXN_c;0;;;;;;
0;0;0;1_3_7_4_RXN_c;0;;;;;;
9.88E-05;9.89E-05;8.73E-07;1_5_1_20_RXN_c;0.000605401;;;;;;
0;0;0;1_5_1_25_RXN_NADP_c;0;;;;;;
0;0;0;1_5_1_25_RXN_NAD_c;0;;;;;;
0;2.80E-05;0.000627779;1_5_1_7_RXN_c;0;;;;;;
0;-5.54E-05;0.00065389;1_5_1_8_RXN_c;0;;;;;;
0;2.74E-05;0.000187087;1_5_1_9_RXN_c;0;;;;;;
0;7.87E-05;0.000373979;1_5_5_1_RXN_m;0;;;;;;
0;3.42E-06;6.35E-05;1_6_5_4_RXN_x;0;;;;;;
0;0;0;1_8_3_5_RXN_c;0;;;;;;
0.000320394;0.000324089;4.06E-05;1_8_4_9_RXN_p;0.001963096;;;;;;
0;2.13E-05;0.000175431;1_8_5_1_RXN_c;0;;;;;;
0;0;0;1_8_5_1_RXN_m;0;;;;;;
0;8.30E-06;9.55E-05;1_8_5_1_RXN_p;0;;;;;;
0;3.63E-06;6.30E-05;1_8_5_1_RXN_x;0;;;;;;
-0.000141788;-0.000161784;0.000107244;10_FORMYL_THF_pc;-0.00086875;;;;;;
