median;mean;std;rxns;;;;;;;
0;0;0;_BORNEOL_DEHYDROGENASE_RXN_c;0;;;0.037948779;0.003162398;12;Sucrose_tx
0;0;0;_NEOMENTHOL_DEHYDROGENASE_RXN_c;0;;;9.92044E-06;2.48011E-06;4;ASN_tx
0;0;0;__MENTHOL_DEHYDROGENASE_RXN_c;0;;;0.00967883;0.001935766;5;GLN_tx
0;0;0;1_1_1_141_RXN_c;0;;;0.04763753;;;
0;0;0;1_1_1_170_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_170_RXN_NAD_c;0;;;;;;
0;1.03E-05;9.89E-05;1_1_1_178_RXN_m;0;;;;;;
0;0;0;1_1_1_210_RXN_c;0;;;;;;
0;0;0;1_1_1_248_RXN_c;0;;;;;;
0;3.32E-05;0.000455472;1_1_1_255_RXN_c;0;;;;;;
0;0;0;1_1_1_268_RXN_c;0;;;;;;
-1.06E-05;-1.07E-05;1.01E-07;1_1_1_271_RXN_c;-0.000223394;;;;;;
0;0;0;1_1_1_285_RXN_NADP_c;0;;;;;;
0;0;0;1_1_1_285_RXN_NAD_c;0;;;;;;
0;0;0;1_1_1_288_RXN_c;0;;;;;;
0;3.45E-14;2.44E-12;1_1_1_34_RXN_c;0;;;;;;
0;3.58E-05;0.000572898;1_1_1_39_RXN_c;0;;;;;;
0;0;0;1_1_1_51_RXN_NAD_c;0;;;;;;
0;2.34E-05;0.000539453;1_1_1_8_RXN_c;0;;;;;;
0;0;0;1_1_3_37_RXN_c;0;;;;;;
0.00101101;0.00184677;0.002641917;1_10_2_2_RXN_m;0.021222976;;;;;;
0;0;0;1_14_11_18_RXN_c;0;;;;;;
0;0;0;1_14_11_20_RXN_c;0;;;;;;
0;0;0;1_14_13_117_RXN_c;0;;;;;;
0;0;0;1_14_13_118_RXN_c;0;;;;;;
0;-2.67E-14;2.67E-12;1_14_13_36_RXN_c;0;;;;;;
0;0;0;1_14_13_42_RXN_c;0;;;;;;
0;0;0;1_14_13_70_RXN_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_72_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_73_RXN_c;0;;;;;;
0;0;0;1_14_13_77_RXN_c;0;;;;;;
0;0;0;1_14_13_78_RXN_c;0;;;;;;
0;0;0;1_14_13_79_RXN_c;0;;;;;;
0;0;0;1_14_13_8_RXN_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NADP_c;0;;;;;;
0;0;0;1_14_13_87_RXN_NAD_c;0;;;;;;
0;0;0;1_14_13_93_RXN_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NADP_c;0;;;;;;
0;0;0;1_14_21_6_RXN_NAD_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NADP_c;0;;;;;;
0;0;0;1_14_99_33_RXN_NAD_c;0;;;;;;
0.016372758;0.017549996;0.002712043;1_18_1_2_RXN_p;0.343694524;;;;;;
0;0;0;1_2_1_1_RXN_c;0;;;;;;
0;-0.000233537;0.000744363;1_2_1_13_RXN_p;0;;;;;;
0;9.11E-07;2.27E-05;1_2_1_2_RXN_m;0;;;;;;
0;1.68E-05;8.46E-05;1_2_1_2_RXN_p;0;;;;;;
0;1.10E-05;0.000106773;1_2_1_25_RXN_m;0;;;;;;
0;0;0;1_2_1_42_RXN_c;0;;;;;;
0;0;0;1_2_1_65_RXN_c;0;;;;;;
0.005973494;0.00504499;0.002356971;1_2_1_9_RXN_c;0.12539471;;;;;;
0;0;0;1_2_3_14_RXN_c;0;;;;;;
0;3.68E-05;0.000201656;1_2_7_1_Pyruvic_ferredoxin_oxidoredutase_m;0;;;;;;
0;1.29E-14;1.29E-12;1_3_1_2_RXN_c;0;;;;;;
0;0;0;1_3_7_4_RXN_c;0;;;;;;
2.97E-05;2.97E-05;4.31E-07;1_5_1_20_RXN_c;0.000622944;;;;;;
0;0;0;1_5_1_25_RXN_NADP_c;0;;;;;;
0;0;0;1_5_1_25_RXN_NAD_c;0;;;;;;
0;4.16E-05;0.000723887;1_5_1_7_RXN_c;0;;;;;;
0;-6.22E-05;0.000739789;1_5_1_8_RXN_c;0;;;;;;
0;2.07E-05;0.000158096;1_5_1_9_RXN_c;0;;;;;;
0;0.000152516;0.001014801;1_5_5_1_RXN_m;0;;;;;;
0;6.13E-06;0.000118791;1_6_5_4_RXN_x;0;;;;;;
0;0;0;1_8_3_5_RXN_c;0;;;;;;
9.62E-05;0.000107073;0.000104162;1_8_4_9_RXN_p;0.002019979;;;;;;
0;3.40E-05;0.000271416;1_8_5_1_RXN_c;0;;;;;;
0;0;0;1_8_5_1_RXN_m;0;;;;;;
0;1.58E-05;0.000193984;1_8_5_1_RXN_p;0;;;;;;
0;6.78E-06;0.000117021;1_8_5_1_RXN_x;0;;;;;;
-4.26E-05;-6.01E-05;0.000104077;10_FORMYL_THF_pc;-0.000893924;;;;;;
0;0;0;12_ALPHA_L_FUCOSIDASE_RXN_c;0;;;;;;
0;0;0;12_OXOPHYTODIENOATE_REDUCTASE_RXN_c;0;;;;;;
0.001418741;0.001545561;0.000419427;1TRANSKETO_RXN_p;0.029781992;;;;;;
0;2.07E-05;0.000158096;2_AMINOADIPATE_AMINOTRANSFERASE_RXN_c;0;;;;;;
0;0;0;2_CARBOXY_D_ARABINITOL_1_PHOSPHATASE_RXN_c;0;;;;;;
0;4.81E-14;2.96E-12;2_DEHYDROPANTOATE_REDUCT_RXN_c;0;;;;;;
0;0;0;2_HEXADECENAL_REDUCTASE_RXN_c;0;;;;;;
0;0;0;2_HYDROXYBIPHENYL_3_MONOOXYGENASE_RXN_c;0;;;;;;
0.000201;0.000218295;0.000133983;2_ISOPROPYLMALATESYN_RXN_p;0.004219363;;;;;;
0;2.07E-05;0.000158096;2_KETO_ADIPATE_DEHYDROG_RXN_m;0;;;;;;
0.001010933;0.00082706;0.000632194;2_KETOGLUTARATE_xc;0.021221357;;;;;;
0;1.03E-05;9.89E-05;2_MEBUCOA_ETF_RXN_m;0;;;;;;
0;0;0;2_OCTAPRENYL_6_OHPHENOL_METHY_RXN_c;0;;;;;;
0;0;0;2_OCTAPRENYLPHENOL_HYDROX_RXN_c;0;;;;;;
0;-1.28E-14;1.28E-12;2_1_1_103_RXN_c;0;;;;;;
0;0;0;2_1_1_114_RXN_c;0;;;;;;
0;0;0;2_1_1_121_RXN_c;0;;;;;;
0;0;0;2_1_1_139_RXN_c;0;;;;;;
0;0;0;2_1_1_140_RXN_c;0;;;;;;
0;0;0;2_1_1_142_RXN_c;0;;;;;;
0;0;0;2_1_1_143_RXN_c;0;;;;;;
0;0;0;2_1_1_145_RXN_c;0;;;;;;
0;0;0;2_1_1_146_RXN_c;0;;;;;;
0;0;0;2_1_1_64_RXN_c;0;;;;;;
0;0;0;2_1_1_69_RXN_c;0;;;;;;
0;0;0;2_1_1_88_RXN_c;0;;;;;;
0;0;0;2_3_1_103_RXN_c;0;;;;;;
0;2.53E-14;2.58E-12;2_3_1_133_RXN_c;0;;;;;;
0;0;0;2_3_1_150_RXN_c;0;;;;;;
0;0;0;2_3_1_151_RXN_c;0;;;;;;
0;0;0;2_3_1_156_RXN_c;0;;;;;;
0;0;0;2_3_1_160_RXN_c;0;;;;;;
0;0;0;2_3_1_162_RXN_c;0;;;;;;
0;0;0;2_3_1_167_RXN_c;0;;;;;;
0;0;0;2_3_1_172_RXN_c;0;;;;;;
0;0;0;2_3_1_179_RXN_c;0;;;;;;
0.001447066;0.001463852;7.88E-05;2_3_1_180_RXN_p;0.030376597;;;;;;
0;0;0;2_3_1_99_RXN_c;0;;;;;;
0;2.16E-05;0.000369949;2_4_1_111_RXN_c;0;;;;;;
0;0;0;2_4_1_114_RXN_c;0;;;;;;
0;0;0;2_4_1_121_RXN_c;0;;;;;;
0.000631885;0.000743521;0.000833709;2_4_1_123_RXN_c;0.013264427;;;;;;
0;0;0;2_4_1_126_RXN_c;0;;;;;;
0;0;0;2_4_1_194_RXN_c;0;;;;;;
0;0;0;2_4_1_195_RXN_c;0;;;;;;
0;0;0;2_4_1_210_RXN_c;0;;;;;;
0;0;0;2_4_1_218_RXN_c;0;;;;;;
0.000261805;0.000309003;0.000556023;2_4_1_67_RXN_c;0.005495776;;;;;;
0.000370079;0.000415742;0.000538341;2_4_1_82_RXN_c;0.007768651;;;;;;
0.000212755;0.000220334;6.39E-05;2_5_1_19_RXN_p;0.004466117;;;;;;
0;0;0;2_5_1_32_RXN_c;0;;;;;;
0;0;0;2_5_1_39_RXN_c;0;;;;;;
0;0;0;2_5_1_41_RXN_c;0;;;;;;
0;0;0;2_5_1_43_RXN_c;0;;;;;;
0;0;0;2_5_1_64_RXN_c;0;;;;;;
0;-2.44E-14;2.44E-12;2_6_1_18_RXN_c;0;;;;;;
0;0;0;2_6_1_22_RXN_c;0;;;;;;
0;0;0;2_6_1_49_RXN_c;0;;;;;;
0;0;0;2_6_1_58_RXN_c;0;;;;;;
0;0;0;2_6_1_80_RXN_c;0;;;;;;
0;3.94E-05;0.00070732;2_7_1_133_RXN_c;0;;;;;;
0;6.53E-05;0.000364993;2_7_1_134_RXN_c;0;;;;;;
0;3.61E-05;0.000674251;2_7_1_139_RXN_c;0;;;;;;
0;-8.35E-15;8.35E-13;2_7_1_140_RXN_c;0;;;;;;
0;0;0;2_7_1_148_RXN_p;0;;;;;;
0;0;0;2_7_1_151_RXN_c;0;;;;;;
0;0;0;2_7_1_152_RXN_c;0;;;;;;
0.00435153;0.004329959;0.001147515;2_7_1_90_RXN_c;0.091346684;;;;;;
0;0;0;2_7_4_24_RXN_c;0;;;;;;
0;1.21E-05;0.000277107;2_7_7_1_RXN_c;0;;;;;;
0;0;0;2_7_7_11_RXN_c;0;;;;;;
2.18E-05;5.28E-05;0.000635492;2_7_7_13_RXN_c;0.000457425;;;;;;
0;0;0;2_7_7_14_RXN_c;0;;;;;;
0;1.59E-05;0.000317287;2_7_7_15_RXN_c;0;;;;;;
0;7.81E-07;4.06E-06;2_7_7_34_RXN_c;0;;;;;;
0;0;0;2_7_7_44_RXN_c;0;;;;;;
0;0;0;2_7_7_57_RXN_c;0;;;;;;
0;0;0;2_7_7_60_RXN_p;0;;;;;;
0;0;0;2_8_2_26_RXN_c;0;;;;;;
0;0;0;2_8_2_27_RXN_c;0;;;;;;
0;0;0;2_8_2_28_RXN_c;0;;;;;;
0;0;0;23_DIMETHYLMALATE_LYASE_RXN_c;0;;;;;;
