OriginalGeneID,ReplacementGeneID
GN7V-40485,GLYMA.05G124800
GN7V-40487,GLYMA.15G217300
GN7V-40488,GLYMA.01G164300
GN7V-40491,GLYMA.08G018900
GN7V-40494,GLYMA.15G010900
GN7V-40495,GLYMA.13G316200
GN7V-40496,GLYMA.06G140300
GN7V-40498,GLYMA.11G078700
GN7V-40500,GLYMA.12G139500
GN7V-40501,GLYMA.04G076300
GN7V-40503,GLYMA.18G183500
GN7V-40508,GLYMA.13G067500
GN7V-40509,GLYMA.15G051500
GN7V-40510,GLYMA.02G159100
GN7V-40511,GLYMA.02G118400
GN7V-40513,GLYMA.18G034200
GN7V-40517,GLYMA.09G010200
GN7V-40518,GLYMA.05G222200
GN7V-40519,GLYMA.01G026800
GN7V-40520,GLYMA.10G207800
GN7V-40524,GLYMA.01G017100
GN7V-40527,GLYMA.06G118500
GN7V-40532,GLYMA.01G001300
GN7V-40534,GLYMA.07G184700
GN7V-40536,GLYMA.09G073600
GN7V-40538,GLYMA.07G190000
GN7V-40539,GLYMA.12G019600
GN7V-40541,GLYMA.02G099200
GN7V-40542,GLYMA.05G033800
GN7V-40544,GLYMA.01G181800
GN7V-40545,GLYMA.17G153200
GN7V-40546,GLYMA.13G030600
GN7V-40550,GLYMA.09G131800
GN7V-40552,GLYMA.11G168300
GN7V-40553,GLYMA.17G260300
GN7V-40555,GLYMA.14G149700
GN7V-40560,GLYMA.02G298800
GN7V-40561,GLYMA.14G081500
GN7V-40563,GLYMA.12G222900
GN7V-40568,GLYMA.02G273300
GN7V-40570,GLYMA.05G138400
GN7V-40579,GLYMA.09G189300
GN7V-40584,GLYMA.16G012300
GN7V-40586,GLYMA.17G003400
GN7V-40588,GLYMA.03G167600
GN7V-40596,GLYMA.06G291600
GN7V-40599,GLYMA.01G055200
GN7V-40600,GLYMA.12G183300
GN7V-40601,GLYMA.04G022800
GN7V-40602,GLYMA.04G113500
GN7V-40604,GLYMA.02G294500
GN7V-40605,GLYMA.09G249100
GN7V-40607,GLYMA.18G000600
GN7V-40610,GLYMA.13G094900
GN7V-40612,GLYMA.02G276900
GN7V-40614,GLYMA.04G055600
GN7V-40617,GLYMA.04G105500
GN7V-40619,GLYMA.02G078800
GN7V-40629,GLYMA.06G008200
GN7V-40631,GLYMA.19G141200
GN7V-40636,GLYMA.10G087500
GN7V-40637,GLYMA.02G289400
GN7V-40638,GLYMA.09G048900
GN7V-40643,GLYMA.05G024800
GN7V-40645,GLYMA.04G022500
GN7V-40649,GLYMA.06G162000
GN7V-40650,GLYMA.12G199800
GN7V-40651,GLYMA.18G167300
GN7V-40656,GLYMA.18G210500
GN7V-40660,GLYMA.10G057100
GN7V-40664,GLYMA.17G027300
GN7V-40667,GLYMA.07G258500
GN7V-40671,GLYMA.04G143000
GN7V-40672,GLYMA.08G327300
GN7V-40675,GLYMA.09G148600
GN7V-40677,GLYMA.13G284200
GN7V-40679,GLYMA.15G073000
GN7V-40680,GLYMA.13G211700
GN7V-40683,GLYMA.13G063400
GN7V-40684,GLYMA.11G110800
GN7V-40687,GLYMA.12G167000
GN7V-40689,GLYMA.12G157500
GN7V-40690,GLYMA.08G051700
GN7V-40692,GLYMA.20G134600
GN7V-40693,GLYMA.06G160800
GN7V-40694,GLYMA.11G199900
GN7V-40695,GLYMA.06G140800
GN7V-40696,GLYMA.13G141200
GN7V-40702,GLYMA.10G249700
GN7V-40707,GLYMA.15G124600
GN7V-40717,GLYMA.05G189900
GN7V-40719,GLYMA.02G041900
GN7V-40720,GLYMA.20G003600
GN7V-40724,GLYMA.02G303000
GN7V-40728,GLYMA.17G005300
GN7V-40729,GLYMA.06G161800
GN7V-40732,GLYMA.10G262700
GN7V-40735,GLYMA.12G050900
GN7V-40738,GLYMA.07G220300
GN7V-40741,GLYMA.10G070100
GN7V-40743,GLYMA.10G265900
GN7V-40744,GLYMA.01G035100
GN7V-40751,GLYMA.13G195300
GN7V-40753,GLYMA.18G091300
GN7V-40755,GLYMA.08G345900
GN7V-40758,GLYMA.05G018500
GN7V-40759,GLYMA.18G092600
GN7V-40760,GLYMA.09G181000
GN7V-40765,GLYMA.08G112600
GN7V-40770,GLYMA.18G080200
GN7V-40772,GLYMA.15G248400
GN7V-40774,GLYMA.01G173600
GN7V-40778,GLYMA.18G266000
GN7V-40781,GLYMA.05G007900
GN7V-40787,GLYMA.09G250200
GN7V-40791,GLYMA.13G033300
GN7V-40793,GLYMA.04G109900
GN7V-40798,GLYMA.19G157000
GN7V-40799,GLYMA.15G257400
GN7V-40802,GLYMA.08G289900
GN7V-40809,GLYMA.08G311500
GN7V-40812,GLYMA.08G312000
GN7V-40817,GLYMA.14G210700
GN7V-40819,GLYMA.07G025900
GN7V-40822,GLYMA.01G188800
GN7V-40828,GLYMA.13G162300
GN7V-40830,GLYMA.07G050400
GN7V-40832,GLYMA.13G247100
GN7V-40834,GLYMA.10G279800
GN7V-40841,GLYMA.02G042500
GN7V-40842,GLYMA.03G119400
GN7V-40844,GLYMA.09G076700
GN7V-40845,GLYMA.17G075300
GN7V-40847,GLYMA.19G062800
GN7V-40849,GLYMA.17G253900
GN7V-40850,GLYMA.07G218600
GN7V-40853,GLYMA.19G254600
GN7V-40854,GLYMA.01G189500
GN7V-40860,GLYMA.15G150900
GN7V-40862,GLYMA.12G036700
GN7V-40866,GLYMA.14G153800
GN7V-40868,GLYMA.13G265300
GN7V-40870,GLYMA.07G033700
GN7V-40871,GLYMA.19G159900
GN7V-40872,GLYMA.03G156400
GN7V-40874,GLYMA.02G171600
GN7V-40878,GLYMA.19G225900
GN7V-40882,GLYMA.13G241600
GN7V-40883,GLYMA.17G243600
GN7V-40890,GLYMA.02G194600
GN7V-40891,GLYMA.16G181200
GN7V-40892,GLYMA.20G057600
GN7V-40893,GLYMA.07G053100
GN7V-40895,GLYMA.01G240300
GN7V-40896,GLYMA.11G165100
GN7V-40905,GLYMA.19G107700
GN7V-40906,GLYMA.08G174200
GN7V-40907,GLYMA.13G112700
GN7V-40911,GLYMA.06G111100
GN7V-40912,GLYMA.13G155800
GN7V-40913,GLYMA.17G028200
GN7V-40914,GLYMA.05G175300
GN7V-40920,GLYMA.03G027400
GN7V-40923,GLYMA.06G237700
GN7V-40924,GLYMA.01G152900
GN7V-40926,GLYMA.14G175100
